ds,yhat,yhat_lower,yhat_upper,country,alert
2023-03-24,30842.960716763304,6058.27812553879,54971.696026317855,Germany,Normal
2023-03-25,30498.765818315107,5160.776850864543,56354.68260925138,Germany,Normal
2023-03-26,29907.293407709956,4179.2182716671305,55506.495391379096,Germany,Normal
2023-03-27,29069.05676043607,3386.0527474509586,53216.44984669819,Germany,Normal
2023-03-28,28006.640850049444,1822.9595853980722,51705.57620705103,Germany,Normal
2023-03-29,26774.988764985508,295.76015192074374,51931.10396161879,Germany,Normal
2023-03-30,25236.712519641173,221.76450246726506,51100.95860979207,Germany,Normal
2023-03-31,23560.949147026644,-576.9652414616951,48954.37312354111,Germany,Normal
2023-04-01,21626.676297787217,-2493.3611172825417,46294.55468148392,Germany,Normal
2023-04-02,19527.421650286957,-5309.344375298372,45138.5115381266,Germany,Normal
2023-04-03,17287.43527261142,-6567.887797978128,42840.935539212056,Germany,Normal
2023-04-04,14950.5333221107,-13234.192683234054,39884.14776039406,Germany,Normal
2023-04-05,12589.978180268416,-13678.317876532972,36893.99428095614,Germany,Normal
2023-04-06,10083.451843981533,-15188.18634142276,33267.37377387102,Germany,Normal
2023-04-07,7611.650252397241,-16759.82958128142,32253.745301275023,Germany,Normal
2023-04-08,5061.41775540352,-18374.297686145735,30108.365651688313,Germany,Normal
2023-04-09,2530.359098613575,-23464.23337936645,27410.4918229981,Germany,Normal
2023-04-10,42.99917175441442,-24084.326780680945,24420.645871975725,Germany,Normal
2023-04-11,-2360.301958012955,-27911.434236656547,20576.293637139268,Germany,Normal
2023-04-12,-4613.316422989559,-29793.84621959123,19717.14189565384,Germany,Normal
2023-04-13,-6848.746154746381,-33774.60648914783,19311.09472918051,Germany,Normal
2023-04-14,-8899.32937219467,-34521.40936355437,17826.405986647093,Germany,Normal
2023-04-15,-10894.344636237822,-36823.68105511359,13630.853519372917,Germany,Normal
2023-04-16,-12754.584314853511,-39108.86549694565,13199.97367729424,Germany,Normal
2023-04-17,-14475.737529590144,-41554.57511754503,9829.814990183912,Germany,Normal
2023-04-18,-16038.986219860992,-41845.74251719256,10058.318451442208,Germany,Normal
2023-04-19,-17400.46374214375,-41518.746330223235,7967.099603797056,Germany,Normal
2023-04-20,-18715.535816807725,-44705.89515963342,6693.487655778757,Germany,Normal
2023-04-21,-19839.394476924273,-45847.223078127245,7800.109733161415,Germany,Normal
2023-04-22,-20923.06539055037,-45333.34801603027,4034.132336594377,Germany,Normal
2023-04-23,-21907.911524025487,-50541.84708404388,2699.0954044582268,Germany,Normal
2023-04-24,-22808.583515532177,-48045.16857786468,1638.8897292146596,Germany,Normal
2023-04-25,-23623.22963595353,-48536.37917095785,3113.5004061025347,Germany,Normal
2023-04-26,-24322.622734095403,-50981.641111654,32.620354772677224,Germany,Normal
2023-04-27,-25074.170529074738,-50819.86915187731,287.8432113708049,Germany,Normal
2023-04-28,-25742.304892434982,-51251.116335848834,662.9315902596495,Germany,Normal
2023-04-29,-26484.35382624525,-52948.96709067599,-1576.1719508440553,Germany,Normal
2023-04-30,-27244.980735925346,-51508.03946580858,-2906.9568577882933,Germany,Normal
2023-05-01,-28039.141287103677,-53905.25878457996,-2257.3309314511057,Germany,Normal
2023-05-02,-28862.368966803242,-53328.12596640958,-4551.633343629602,Germany,Normal
2023-05-03,-29680.04338698065,-54424.63542500485,-5577.252402577875,Germany,Normal
2023-05-04,-30651.60284433927,-56749.73775329726,-4564.115228551264,Germany,Normal
2023-05-05,-31631.190587044133,-58837.71293811212,-7029.764870417587,Germany,Normal
2023-05-06,-32763.83113663231,-57988.69063141303,-7607.904914997009,Germany,Normal
2023-05-07,-33980.21294202467,-60175.32819785984,-10177.026927589168,Germany,Normal
2023-05-08,-35280.01859119073,-61416.17706329781,-9666.312236527192,Germany,Normal
